text,target
"A recap of yesterday day 2 of USCA2013 in New Orleans feat sessions/topics addressing the HIV care continuum ",positivo
"At USCA2013 Join us and DebYTH pozmagazine NBGMAC imstilljosh today at 830 in Empire B for a digital social media HIV panel ",positivo
"Open in 23 days We need to be using all of our communications platforms to talk about the health insurance marketplace USCA2013 ACA ",positivo
"At Day 2 USCA2013 plenary hosted by iamphillwilson about engagement We hope youre engaging with new media at the conference ",positivo
"Happening today - USCA2013 Symposium on HIV/AIDS Employment feat USDOL many others ",positivo
"Just posted on the blog - highlights from the first day of the US Conference on AIDS (#USCA2013) in New Orleans ",positivo
"Save the date HIV Care Continuum Initiative webinars will be held Sept 16th and 24th Details to come ACA USCA2013 ",positivo
"CMSGov Dr Sha partnerships are crucial to maximize ACA enrollment USCA2013 ",positivo
"DrMerminCDC presents on HIV prevalence incidence in the US USCA2013 ACA ",positivo
"Good morning from USCA2013 Tune in later as we tweet live from the federal Affordable Care Act plenary at 1230pm CST ACA ",positivo
"56 of women living w/ HIV have experienced intimate partner violence vs 36 nationally New whitehouse report ",positivo
"National HIV/AIDS Aging Awareness Day is Sept 18 Get the facts on living with HIV as you age NHAAAD ",positivo
"Want to learn how to build/expand an HIV care program in jail settings Save the date for HRSAgov Webinar on 9/27 ",positivo
"We need your feedback at USCA2013 sign up for a usability testing session to test new site mobile features ",positivo
"Blog post by DrMerminCDC on the Affordable Care Act broadening public health foundation for PLWHA others ACA ",positivo
"10 things providers need to know about the Health Insurance Marketplace ACA ",positivo
"Happy Labor Day wekeend We honor the contributions of workers across our nation Thank you to those working to help address HIV/AIDS ",positivo
"10 things providers need to know about the Health Insurance Marketplace ACA ",positivo
"Tune in today at 230pm ET for HRSAgov webcast on how the ACA intersects with the Ryan White HIV/AIDS program ",positivo
"We were named one of the 50 best responsive website design examples of 2013 Thanks SocialDriver ",positivo
"HRSAgov CMSgov to host webcast on Ryan White HIV/AIDS Program essential health benefits 8/28 230pm ET ACA ",positivo
"Join MinorityHealth today at 2pm ET for ACAMinorities Twitter chat about the ACA health insurance communities of color ",positivo
"ChallengeGov is hosting new media challenge to inform women families about the Affordable Care Act ACA ",positivo
"Communicate about HIV Lets meet at JSIhealth booth 130 during tonights networking reception hcmmconf ",positivo
"Did you know up to 30 of people living with HIV have abnormal kidney function Learn more about HIV kidney disease ",positivo
"From CMSgov New resources available to help consumers navigate the Health Insurance Marketplace ",positivo
"MT lacasablanca Want to know about how the ACA will help to protect you when buying health insurance Read here ",positivo
"MT CDCNPIN Join us Thursday at 2P ET for NPINChat Lessons Learned from In the Know Series I Looking to the Future ",positivo
"Applicant TA begins today for new CDC FOA to support Capacity Building Assistance for High-Impact HIV Prevention ",positivo
"ascnyc shares their experience using new media to reach young men who have sex with men ",positivo
"The HIV Testing Services Locator app is now available for Android devices Download today ",positivo
"Its SharkWeek Stay ahead of the current by taking an HIV test ",positivo
"Want to better understand the ACA Health Insurance Marketplace Dont miss these trainings coming this month ",positivo
"MT HealthDataGov Have you commented on the new HHSGov innovation doc Tell us what you think ",positivo
"Did you know that today is National Parents Day We want to honor thank parents living with HIV supporting children living with HIV ",positivo
"Today is WorldHepDay Did you know most of the million Americans living with viral hepatitis dont know it ",positivo
"Apply now for Creative Novel Ideas in HIV Research NIHforHealth grant ",positivo
"CMSGov released a final rule for Affordable Care Act Navigators who will provide ACA assistance to consumers ",positivo
"Nine organizations will develop new media plans for their HIV/AIDS programs with the assistance of a micro-grant ",positivo
"Today President Obama signed an Executive Order launching the HIV Care Continuum Initiative of the NHAS ",positivo
"Watch live now the launch of the whitehouse HIV Care Continuum Initiative NHAS ",positivo
"We are at the@whitehouse listening to information on the new HIV Care Continuum Initiative of the National HIV/AIDS Strategy Stay tuned ",positivo
"Have questions about the Affordable Care Act HealthCareGov has launched new site services to answer them ACA ",positivo
"Natl Conference on Health Communication Marketing Media early registration deadline extended to 7/15 hcmmconf ",positivo
"A Smarter More Innovative Government for the American People via The whitehouse SmarterGov ",positivo
"For complete coverage from this years largest AIDS conference _IAS2013 in Kuala Lampur visit ",positivo
"Happy 4th of July In between the BBQ fireworks take time today to read the USAs National HIV AIDS Strategy NHAS ",positivo
"Reminder today is the deadline to apply for funding for new media activities Submit your application by 5pm ET ",positivo
"Did you get tested on National HIV Testing Day Its never too late Find where to go NHTD ",positivo
"FACT SHEET Global Health Investments Partnership in Africa via The whitehouse describes PEPFAR progress ",positivo
"MT MinorityHealth Its NHTD Read how culture can affect how testing messages are given and received ",positivo
"CDC_DrMermin / CDC_HIVAIDS outlines exciting HIV testing-related news advances for NHTD ",positivo
"Supporting HIV testing with new media NTHD ",positivo
"Historically some living with HIV have had difficulty obtaining private health insurance due to pre-existing conditions ACA CDCchat NHTD ",positivo
"The Affordable Care Act (#ACA) emphasizes prevention taking care of yourself CDCchat NHTD ",positivo
"MT HHS_DrKoh Today is Natl HIV/AIDS Day this years theme is Take the Test Take Control Sebelius statement ",positivo
"Are you a clinician Please share this resource to find HIV testing other health services with your patients NHTD ",positivo
"Find National HIV Testing Day resources inspiration in our NHTD Pinterest board ",positivo
"You can help people find HIV testing right from your webpage - embed the HIV locator widget NHTD ",positivo
"It National HIV Testing Day What are you waiting for Find out where to go to take an HIV test NHTD ",positivo
"Tweeting about National HIV Testing Day today Use hashtag NHTD to join the conversation on HIV testing ",positivo
"On National HIV Testing Day urge friends family in your life to take an HIV test Find a local site NHTD ",positivo
"Today is National HIV Testing Day The 2013 theme Take the Test Take Control NHTD ",positivo
"Read the HHSgov Secretary Sebelius official statement on the SCOTUS ruling of DOMA ACA ",positivo
"MT AoAgov 6/27 is Natl HIV Testing Day 1 in 5 ppl with HIV in US dont know they have it Find testing sites NHTD ",positivo
"Read HHSgov Secretary Sebelius statement for National HIV Testing Day 2013 NHTD ",positivo
"Be supreme and find an HIV testing location near you ",positivo
"Thursday June 27 is National HIV Testing Day Learn how to get involved where to go to find testing NHTD ",positivo
"RT ü?èAoAgov Join HHS conf call today 2pm ET to discuss new Health Insurance Marketplace tools Phone#: 888-469-2093 Passcode HEALTHCARE ",positivo
"Are you a clinician Please share this resource to find HIV testing other health services with your patients NHTD ",positivo
